Symbol,Company_name,Price,Change_abs,Change_rel,Volume,Avg_vol_3M,Market_cap,PE_ratio_TTM,Wk_change_rel
OSSFF,Embla Medical hf.,4.25,0,0,16551,441,1969000000.000,30.36,-0.1362
MASI,Masimo Corporation,106.34,0.99,0.0092,847655,815775,5655000000.000,72.34,-0.1353
AA,Alcoa Corporation,29.47,2.00,0.0636,6861000.000,5452000.000,7613000000.000,0,-0.1348
TFSL,TFS Financial Corporation,12.96,0.04,0.0031,376504,250851,3606000000.000,46.29,-0.1343
CRC,California Resources Corporation,47.4,1.53,0.0313,747641,958729,4228000000.000,13.35,-0.1338
PSGTF,PT Semen Indonesia (Persero) Tbk,0.39,0,0,40000,3645,2633000000.000,19.50,-0.1333
PRKS,United Parks & Resorts Inc.,47.1,2.75,0.0552,1222000.000,958090,2943000000.000,12.66,-0.1331
RRC,Range Resources Corporation,28.93,2.11,0.068,2485000.000,2357000.000,7004000000.000,14.54,-0.1328
IEX,IDEX Corporation,194.12,2.17,0.0111,659392,502095,14696000000.000,25.38,-0.1328
CTRA,Coterra Energy Inc.,24.11,1.29,0.0508,11758000.000,5999000.000,17943000000.000,13.94,-0.1327
BOX,"Box, Inc.",26.99,0.78,0.0281,1210000.00,1621000.000,3913000000.000,36.97,-0.1327
AIPUF,Airports of Thailand Public Company Limited,1.64,0,0,35635,0,25618000000.000,54.67,-0.1323
WPC,W. P. Carey Inc.,57.23,0.06,0.001,1576000.000,1233000.000,12525000000.000,22.01,-0.1313
AES,The AES Corporation,17.13,0.78,0.0436,10660000.00,8020000.00,12178000000.000,16.31,-0.1305
SVNDY,"Seven & i Holdings Co., Ltd.",11.95,0.04,0.0033,19018,259466,31149000000.000,23.43,-0.1303
HSY,The Hershey Company,199.08,0.54,0.0027,2235000.000,1691000.000,40271000000.000,22.02,-0.1302
HGV,Hilton Grand Vacations Inc.,39.69,1.32,0.0322,1236000.000,698722,4116000000.000,18.72,-0.1302
CSTM,Constellium SE,15.88,0.81,0.0485,1083000.000,1208000.000,2323000000.000,13.57,-0.1299
EC,Ecopetrol S.A.,9.99,0.43,0.0413,3763000.000,2064000.000,21108000000.000,4.36,-0.1298
BGNE,"BeiGene, Ltd.",163.23,0.94,0.0058,176341,205658,17708000000.000,0,-0.1295
BSBR,Banco Santander (Brasil) S.A.,4.92,0.1500,0.0296,354611,475941,19197000000.000,18.92,-0.1292
EBR-B,Centrais Elétricas Brasileiras S.A. - Eletrobrás,7.31,0.02,0.0027,48574,26660,16419000000.000,20.31,-0.1287
WNS,WNS (Holdings) Limited,57.62,0.94,0.0161,339121,623287,2545000000.000,20.29,-0.1275
FTV,Fortive Corporation,68.44,2.02,0.0287,2910000.00,1693000.000,23977000000.000,27.49,-0.1275
NSRGY,Nestlé S.A.,104.35,0.01,0.0001,54730,572738,268316000000.000,21.47,-0.1266
GNTX,Gentex Corporation,29.85,0.61,0.02,1698000.000,1377000.000,6872000000.000,16.58,-0.1264
